,category,title,price,rating,No of reviews
2280,"['Patio, Lawn & Garden', 'Patio Furniture & Accessories', ' Privacy Screens & Protection']",artificial boxwood hedges panels 15.7 * 23.6inch faux grass shrubs garden privacy screen fence greenery decorative fences covers 10pc,23.0,4.7,17
2281,"['Sports & Outdoors', 'Sports & Fitness', 'Boating & Sailing', 'Boating', 'Cabinet Hardware & Hinges']",owach push button latch marine boat tool box glovebox radio electronic boxreplace 93-304 93-303 series 0.00-0.41 door panel 0.88-0.91 grip range,35.45,4.1,8
2282,"['Clothing, Shoes & Jewelry', 'Baby', 'Baby Girls', 'Athletic & Outdoor']",kids water swim shoes barefoot aqua socks quick dry non-slip baby boys girls,8.48,4.5,206
2283,"['Sports & Outdoors', 'Fan Shop', 'Pet Gear', 'Pet Collars']",pets first new york rangers dog collar,9.5,4.3,30
2284,"['Health & Household', 'Medical Supplies & Equipment', 'Mobility & Daily Living Aids', 'Wedges & Body Positioners']",oasisspace bed wedge pillow adjustable 8 12 inch folding memory foam sleeping incline cushion system legs back pain washable cover acid refluxheartburnsnoringreading,58.99,4.4,78
2285,"['Automotive', 'Exterior Accessories', 'Towing Products & Winches', 'Drawbar Hitch']",curt 13290 class 3 trailer hitch 2-inch receiver select mercedes-benz glc300,194.29,5.0,11
2286,"['Camera & Photo', 'Camera & Camcorder Lens Bundles']",m12 lens set arducam raspberry pi camera 1 4 arduino telephoto macro wide angle fisheye kit 10°- 200° holder cleaning cloth optical all-in-one,74.99,4.7,13
2287,"['Sports & Outdoors', 'Outdoor Recreation', 'Winter Sports', 'Snow Tubes']",hiwena snow tubes inflatable family 2 higher handles heavy duty sled adults toy kids 48 37 inch snowflake pack,28.99,3.9,156
2288,"['Tools & Home Improvement', 'Measuring & Layout Tools', 'Rulers']",stainless steel center finding ruler . ideal woodworking metal work construction around home 12,9.99,4.6,126
2289,"['Health & Household', 'House Supplies', 'Tobacco-Related Products', 'Filters']",cut-nic 8 hole easy draw disposable cigarette filters bulk economy pack 300 per filter tips,13.95,4.4,213
2290,"['Pet Supplies', 'Cats', 'Beds & Furniture', 'Activity Trees']",nova microdermabrasion pet republic 53 inches multi-level cat tree stand house furniture kittens activity tower scratching posts kitty play,60.49,4.0,6039
2291,"['Industrial & Scientific', 'Lab & Scientific Products', 'Glassware & Labware', 'Test Tube Clamps']",baoblaze metal clip keck clamp 14mm glass ground joint laboratory equipment,14.49,3.8,17
2292,"['Industrial & Scientific', 'Industrial Hardware', ' Chains']",aowish stainless steel chain links 2-pack ss quick link 1 2 12mm diameter heavy duty trailer safety hook carabiner clip 2500 lbs w.l.l silver m12,6.65,4.6,12
2293,"['Tools & Home Improvement', 'Safety & Security', 'Personal Protective Equipment', 'Fall Arrest Kits']",3m protecta compliance 2199803 roofers kit 5-point harness reusable roof anchor rope grab 50 lifeline white bucket,59.99,4.5,4
2294,"['Musical Instruments', 'Instrument Accessories', 'Cleaning & Care']",euphonium hand strap,12.99,4.3,13
2295,"['Industrial & Scientific', 'Power & Hand Tools', 'Industrial Power Tools', 'Welding & Soldering', 'Soldering & Brazing Equipment', 'Brazing Rods']",blue demon rg45 x 1 8 10lb box oxy-acetylene gas welding rod,29.810000000000002,4.7,40
